"microbe","mean.Lean","mean.Obese","p.value","log2foldchange"
"o__Bifidobacteriales",2.2,128,0.266655200387949,5.86249647625007
"o__Burkholderiales",480,2209.4,0.0357895594992994,2.20254832357961
"o__Clostridiales",16730,8437.2,0.00333131138057368,-0.98760123994842
"o__Coriobacteriales",488,0,0.250297267496685,-Inf
"o__Enterobacteriales",119.6,0,0.0173499823349723,-Inf
"o__Erysipelotrichales",7730.4,7222.2,0.836957066005863,-0.098104694036873
"o__Lactobacillales",727.8,1133,0.518932325153742,0.638533904866212
"o__Verrucomicrobiales",919.8,16218.8,0.00149038583180343,4.14020307313531
"p__Actinobacteria",490.2,128,0.409238038483964,-1.93722667397948
"p__Bacteroidetes",13461.2,21235.8,0.105237609574912,0.657691434379883
"p__Firmicutes",25188.2,16792.4,0.0846133966342082,-0.584939590253784
"p__Proteobacteria",599.6,2209.4,0.0445290411066217,1.88158234612763
"p__Verrucomicrobia",919.8,16218.8,0.00149038583180343,4.14020307313531
"s__.Soleaferrea.sp34492",29.6,0,0.000370081230731375,-Inf
"s__Acetanaerobacterium.sp34408",16,0,0.0086031587467551,-Inf
"s__Akkermansia.muciniphila",919.8,16218.8,0.00149038583180343,4.14020307313531
"s__Alistipes.finegoldii",516.4,0,0.0113019839177985,-Inf
"s__Alistipes.onderdonkii",3,0,0.332834942798575,-Inf
"s__Alistipes.putredinis",82.4,0,0.332834942798575,-Inf
"s__Anaerofustis.stercorihominis",0,4.2,0.366555054582791,Inf
"s__Anaerostipes.caccae",232,0,0.0230816394159741,-Inf
"s__Anaerotruncus.colihominis",14.8,11.8,0.868005757302796,-0.326810316267109
"s__Anaerotruncus.sp34435",65,0,0.0213369114588027,-Inf
"s__Anaerotruncus.sp34443",0,4.8,0.366555054582791,Inf
"s__Anaerotruncus.sp34452.sp34475",0,3.8,0.366555054582791,Inf
"s__Anaerotruncus.sp34453",177.4,280.2,0.729904738469993,0.659450946129754
"s__Anaerotruncus.sp34457",0,6.4,0.36655505458279,Inf
"s__Bacteroides.cellulosilyticus",1854.2,0,0.0129969863677513,-Inf
"s__Bacteroides.fragilis",5415.2,0,3.58721231632488e-05,-Inf
"s__Bacteroides.fragilis.ovatus",355.6,0,0.000425372690796596,-Inf
"s__Bacteroides.ovatus",98.6,0,0.000548762624878036,-Inf
"s__Bacteroides.sp12288.thetaiotaomicron",1508.8,20142.4,0.00274493660043958,3.73876210682888
"s__Bifidobacterium.longum",2.2,45.8,0.199273252046111,4.37977216945965
"s__Bifidobacterium.saeculare",0,82.2,0.366555054582791,Inf
"s__Blautia.coccoides",160.4,0,0.332834942798574,-Inf
"s__Blautia.hansenii.producta",1515.2,0,0.00197017167363916,-Inf
"s__Blautia.hydrogenotrophica",138.2,0,0.0420379044096424,-Inf
"s__Blautia.sp32034",3,0,0.332834942798575,-Inf
"s__Blautia.sp32046",266.2,0,0.0283005190174632,-Inf
"s__Clostridium.baratii",0,705.2,0.128868476731696,Inf
"s__Clostridium.celatum.sp30555",0,1055.2,0.124398145566699,Inf
"s__Clostridium.perfringens",0,389.4,0.148688786867951,Inf
"s__Clostridium.tertium",17.6,1888.2,0.0365134835200296,6.74529234538228
"s__Eggerthella.lenta",189.4,0,0.23842525493712,-Inf
"s__Eisenbergiella.sp32221",13,0,0.0432227606650323,-Inf
"s__Enterococcus.faecalis",42.2,1036.4,0.060212220308612,4.61819411147291
"s__Escherichia.Shigella.coli",119.6,0,0.0173499823349723,-Inf
"s__Faecalitalea.sp36732",0,5655.2,0.0630272548022434,Inf
"s__Flavonifractor.plautii",588.4,418.2,0.539240260301354,-0.492604184665251
"s__Gordonibacter.faecihominis",89.6,0,0.306653498612911,-Inf
"s__Gordonibacter.pamelaeae",103.8,0,0.208471454369494,-Inf
"s__Gordonibacter.urolithinfaciens",105.2,0,0.264977970696919,-Inf
"s__Holdemania.massiliensis",325.4,0,0.00014276211262367,-Inf
"s__Hungatella.effluvii",27.2,0,0.231795446013216,-Inf
"s__Lachnoclostridium.bolteae.sp32431",1042.8,0,1.85066617061878e-05,-Inf
"s__Lachnoclostridium.sp32336",78.8,0,0.00863329830122898,-Inf
"s__Lachnoclostridium.sp32341.sp32430",51.4,0,0.0417052927235696,-Inf
"s__Lachnoclostridium.sp32387",19.2,0,0.332834942798575,-Inf
"s__Lachnoclostridium.sp32411",12.2,0,0.0408663503259424,-Inf
"s__Lachnoclostridium.sp32417",206.2,0,0.0162701650965446,-Inf
"s__Lachnoclostridium.sp32433",939.2,0,0.00126009122070451,-Inf
"s__Lachnoclostridium.sp32440",271,116.2,0.150680953543633,-1.2216827828367
"s__Lachnoclostridium.sp32442",136.6,10.8,0.0162778942802296,-3.66085426612662
"s__Lachnoclostridium.sp32444",542.8,0,0.0654100086081939,-Inf
"s__Lachnoclostridium.sp32445",0,263.4,0.17498803525787,Inf
"s__Lactobacillus.johnsonii",505.8,0,0.272754615117033,-Inf
"s__Lactococcus.lactis",179.8,96.6,0.215094631551619,-0.896297926678674
"s__Lactonifactor.sp32959",7.4,0,0.133976626196633,-Inf
"s__Marvinbryantia.sp32970.sp32983",57.8,238.4,0.121660334648096,2.04424283796148
"s__Marvinbryantia.sp32971",84.8,110.4,0.105637765694453,0.38060400221497
"s__Marvinbryantia.sp32979",726.2,18.4,0.0574462876911021,-5.30258925874319
"s__Marvinbryantia.sp32983",170.2,3.6,0.0573941958803267,-5.56309032024365
"s__Marvinbryantia.sp32989",253,367.8,0.0850850494496728,0.539784094830265
"s__Marvinbryantia.sp32993",58.6,0,0.078808846589291,-Inf
"s__NA.sp12510",0,301.6,0.0624164365997514,Inf
"s__NA.sp12514",0,284,0.0716199375652672,Inf
"s__NA.sp12610",0,371.8,0.10184309175971,Inf
"s__NA.sp12656",0,136,0.0557620684068845,Inf
"s__NA.sp30444",69.4,12.6,0.0640773307209377,-2.46151192907834
"s__NA.sp30526",15.8,0,0.222491703433159,-Inf
"s__NA.sp31082",0,5.6,0.366555054582791,Inf
"s__NA.sp32146",13.4,0,0.195901584561712,-Inf
"s__NA.sp32154",98.4,0,1.04857338194613e-05,-Inf
"s__NA.sp32156",3.6,0,0.332834942798575,-Inf
"s__NA.sp32163.sp32172",60,0,0.230842108914782,-Inf
"s__NA.sp32254",13,0,0.332834942798575,-Inf
"s__NA.sp32261",19.2,0,0.332834942798575,-Inf
"s__NA.sp32622",0,5.6,0.366555054582791,Inf
"s__NA.sp32706",0,6.2,0.366555054582791,Inf
"s__NA.sp32758",0,13.2,0.366555054582791,Inf
"s__NA.sp32843",187.4,0,0.332834942798574,-Inf
"s__NA.sp32862",101.4,33.2,0.20877537416996,-1.61080250565642
"s__NA.sp32912",0,4.2,0.36655505458279,Inf
"s__NA.sp33374",277.6,0,0.00199745309800817,-Inf
"s__NA.sp33416.sp33419",69.4,40.2,0.459090436246539,-0.787740161399332
"s__NA.sp33419",23.4,15.4,0.643448681546764,-0.603578178888503
"s__NA.sp33422",4723.2,0,0.0137540863463604,-Inf
"s__NA.sp33426",3,0,0.332834942798575,-Inf
"s__NA.sp33436",6.2,0,0.332834942798575,-Inf
"s__NA.sp33453",11.6,0,0.332834942798575,-Inf
"s__NA.sp33456",24.4,0,0.120203169863263,-Inf
"s__NA.sp33459",7,0,0.332834942798575,-Inf
"s__NA.sp33470",62.8,5.2,0.205766139592992,-3.59418103075053
"s__NA.sp33470.sp33680",104.8,34.2,0.0709191962823885,-1.61557048665155
"s__NA.sp33503",56,6.2,0.240751836615879,-3.17508670655809
"s__NA.sp33513",193.2,7,0.00183428126474316,-4.78659636189081
"s__NA.sp33558",70,9,0.00344926789402026,-2.95935801550265
"s__NA.sp33582",2.8,21.8,0.0942642013362472,2.96082940271932
"s__NA.sp33686",11.6,0,0.0257237223791935,-Inf
"s__NA.sp33718",84,3.4,0.0648264710377392,-4.62678267641578
"s__NA.sp33739",6.8,0,0.332834942798574,-Inf
"s__NA.sp33748",223.6,0,5.67221256582434e-05,-Inf
"s__NA.sp33756",93.8,0,0.195618804016742,-Inf
"s__NA.sp33766",10.2,0,0.332834942798575,-Inf
"s__NA.sp34743",2.8,0,0.332834942798575,-Inf
"s__NA.sp34794",17.2,30.8,0.481349529685691,0.840521785992803
"s__NA.sp34867",0,5.2,0.366555054582791,Inf
"s__NA.sp34871",0,6,0.36655505458279,Inf
"s__NA.sp34878",68,93.8,0.62868439846514,0.464053176377675
"s__NA.sp34879",9.4,0,0.128301961517852,-Inf
"s__NA.sp34883",0,8.6,0.366555054582791,Inf
"s__NA.sp34977",15.8,0,0.215031265204662,-Inf
"s__NA.sp35059",82.6,0,0.176690859951895,-Inf
"s__NA.sp35287.sp35305",61.6,0,0.0967708382524442,-Inf
"s__NA.sp35297",12.4,0,0.045181669713812,-Inf
"s__NA.sp35310",82.6,0,0.332834942798575,-Inf
"s__NA.sp35690",68.2,3,0.0375798808882445,-4.50673733341565
"s__NA.sp35758",18.6,0,0.00907891854161387,-Inf
"s__NA.sp35770",38.6,0,0.00295833496032835,-Inf
"s__NA.sp35799",170.4,10.4,0.0306482820316541,-4.03426990208475
"s__NA.sp35834",107.4,0,0.0164222826417904,-Inf
"s__NA.sp36741",7147,1557.4,0.000484930309998676,-2.19819825689289
"s__NA.sp36777",0,9.6,0.210998104926031,Inf
"s__NA.sp36786",258,0,0.119748007315312,-Inf
"s__Oscillibacter.sp34634",4.8,82.6,0.315178909081675,4.10503547069829
"s__Parabacteroides.distasonis",3627,0,0.0010253077045748,-Inf
"s__Parasutterella.excrementihominis",480,2209.4,0.0357895594992994,2.20254832357961
"s__Peptoclostridium.difficile",0,1805.2,0.0164898727132371,Inf
"s__Romboutsia.lituseburensis",0,20.2,0.12081571338842,Inf
"s__Roseburia.sp33136",21.4,5,0.168410472427252,-2.09761079662642
"s__Roseburia.sp33152",582.8,26.2,0.0607431007684269,-4.47536216052706
"s__Ruminiclostridium.sp34857.sp34950",17,31.2,0.39217359124222,0.876011282724547
"s__Ruminiclostridium.sp34921",14.6,0,0.0564309739862809,-Inf
"s__Ruminiclostridium.sp34950",0,2.6,0.36655505458279,Inf
"s__Subdoligranulum.sp35590",764.6,183.4,0.0667959997701449,-2.05971156123959
"s__Tyzzerella.sp33302",0,3.6,0.366555054582791,Inf
