sample_id,customer_label,Ct,gene_copies_per_ul,genome_copies_per_ul*,DNA_ng_per_ul*
zr8258_28V3V4,Obesegavage.Chow.End2,14.07,4336954137,1084238534,5513.736444
zr8258_29V3V4,Leangavage,13.12,10307136284,2576784071,13103.85842
zr8258_30V3V4,Obesegavage,20.05,8758287,2189572,11.13474808
zr8258_31V3V4,Saline.HFD.VAT1,23.69,3214743,803686,4.08702758
zr8258_32V3V4,Saline.HFD.VAT2,23.77,4079252,1019813,5.18610982
zr8258_33V3V4,Saline.HFD.VAT3,24.88,1019032,254758,1.29553454
zr8258_34V3V4,Saline.HFD.VAT4,24.8,1752890,438223,2.22851896
zr8258_35V3V4,Saline.HFD.VAT5,25.85,881032,220258,1.12008984
zr8258_36V3V4,Leangavage.HFD.VAT1,24.65,2005863,501466,2.55013198
zr8258_37V3V4,Leangavage.HFD.VAT2,25.91,723581,180895,0.91991506
zr8258_38V3V4,Leangavage.HFD.VAT3,27.42,230069,57517,0.29249429
zr8258_39V3V4,Leangavage.HFD.VAT4,25.29,708293,177073,0.90047884
zr8258_40V3V4,Leangavage.HFD.VAT5,27.01,260647,65162,0.33137182
zr8258_41V3V4,Obesegavage.HFD.VAT1,27.46,292314,73079,0.37163256
zr8258_42V3V4,Obesegavage.HFD.VAT2,26.47,506759,126690,0.64426346
zr8258_43V3V4,Obesegavage.HFD.VAT3,27.39,247508,61877,0.31466643
zr8258_44V3V4,Obesegavage.HFD.VAT4,28.0,152584,38146,0.1939859
zr8258_45V3V4,Obesegavage.HFD.VAT5,27.12,242878,60720,0.30878268
zr8258_46V3V4,Obesegavage.Chow.VAT1,27.31,245475,61369,0.31208307
zr8258_47V3V4,Obesegavage.Chow.VAT2,32.57,2514,629,0.00319869
zr8258_48V3V4,Obesegavage.Chow.VAT3,32.3,3490,873,0.00443951
zr8258_49V3V4,Obesegavage.Chow.VAT4,32.53,2247,562,0.00285797
zr8258_50V3V4,Obesegavage.Chow.VAT5,32.98,1227,307,0.0015612
zr8258_51V3V4,Saline.HFD.Liver1,31.45,11427,2857,0.01452886
zr8258_52V3V4,Saline.HFD.Liver2,31.32,8093,2023,0.01028767
zr8258_53V3V4,Leangavage.HFD.Liver1,30.64,20947,5237,0.026632
zr8258_54V3V4,Leangavage.HFD.Liver2,31.73,9960,2490,0.01266253
zr8258_55V3V4,Obesegavage.HFD.Liver1,32.29,4977,1244,0.00632618
zr8258_56V3V4,Obesegavage.HFD.Liver2,32.14,6500,1625,0.0082637
zr8258_57V3V4,Obesegavage.Chow.Liver1,31.62,5433,1358,0.00690591
zr8258_58V3V4,Obesegavage.Chow.Liver2,30.63,14018,3505,0.01782416
zr8258_59V3V4,Salinegavage.HFD.Brain,31.77,7876,1969,0.01001306
zr8258_60V3V4,Leangavage.HFD.Brain,31.18,13874,3469,0.01764109
zr8258_61V3V4,Obesegavage.HFD.Brain,31.27,16878,4220,0.02146019
zr8258_62V3V4,Obesegavage.Chow.Brain,31.56,12353,3088,0.01570357
zr8258_63V3V4,Salinegavage.HFD.Post1,24.82,102554,25639,0.13038338
zr8258_64V3V4,Leangavage.HFD.Post1,25.5,58060,14515,0.07381391
zr8258_65V3V4,Obesegavage.HFD.Post1,31.2,493,123,0.0006255
zr8258_66V3V4,Obesegavage.Chow.Post1,36.6,5,1,5.09e-06
