"","SAMPID","SMTS"
"113","GTEX-1128S-0326-SM-5GZZF","Blood Vessel"
"114","GTEX-1128S-0726-SM-5N9D6","Lung"
"115","GTEX-1128S-0826-SM-5GZZI","Pancreas"
"116","GTEX-1128S-0926-SM-5GZZU","Adipose Tissue"
"117","GTEX-1128S-1626-SM-5H12O","Colon"
"118","GTEX-1128S-2126-SM-5H12U","Adipose Tissue"
"119","GTEX-1128S-2326-SM-5GZZY","Skin"
"120","GTEX-1128S-2426-SM-5H11B","Muscle"
"121","GTEX-1128S-2526-SM-5H11N","Blood Vessel"
"122","GTEX-1128S-2626-SM-5H11Z","Pituitary"
"123","GTEX-1128S-2726-SM-5H12C","Brain"
"124","GTEX-1128S-2826-SM-5N9DI","Brain"
"125","GTEX-113IC-0006-SM-5NQ9C","Blood"
"126","GTEX-113IC-0008-SM-5QGRF","Skin"
"127","GTEX-113IC-0126-SM-5HL6T","Skin"
"128","GTEX-113IC-0226-SM-5HL5C","Adipose Tissue"
"129","GTEX-113IC-0426-SM-5HL5O","Blood Vessel"
"130","GTEX-113IC-0526-SM-5HL76","Nerve"
"131","GTEX-113JC-0006-SM-5O997","Blood"
"132","GTEX-113JC-0008-SM-5QGR6","Skin"
"133","GTEX-113JC-0126-SM-5EGJW","Thyroid"
"134","GTEX-113JC-0726-SM-5GZZR","Adipose Tissue"
"135","GTEX-113JC-0926-SM-5H114","Esophagus"
"136","GTEX-113JC-1026-SM-5H117","Esophagus"
"137","GTEX-113JC-1926-SM-5N9GE","Vagina"
"138","GTEX-113JC-2226-SM-5EGJG","Uterus"
"139","GTEX-113JC-2326-SM-5EQ4E","Skin"
"140","GTEX-113JC-2726-SM-5EGIS","Muscle"
"141","GTEX-113JC-2826-SM-5EGIT","Pituitary"
"142","GTEX-117XS-0005-SM-5PNU6","Blood"
"143","GTEX-117XS-0008-SM-5Q5DQ","Skin"
"144","GTEX-117XS-0426-SM-5GZZN","Blood Vessel"
"145","GTEX-117XS-0526-SM-5987Q","Thyroid"
"146","GTEX-117XS-0726-SM-5H131","Heart"
"147","GTEX-117XS-1926-SM-5GICO","Breast"
"148","GTEX-117XS-2026-SM-5GID1","Testis"
"149","GTEX-117XS-2226-SM-5GIE1","Colon"
"150","GTEX-117XS-2526-SM-5H11G","Muscle"
"151","GTEX-117XS-2726-SM-5N9BL","Skin"
"152","GTEX-117XS-2926-SM-5N9BX","Pituitary"
"153","GTEX-117XS-3026-SM-5N9CA","Brain"
"154","GTEX-117XS-3126-SM-5GIDP","Brain"
"155","GTEX-117YW-0005-SM-5NQ8Z","Blood"
"156","GTEX-117YW-0008-SM-5QGRD","Skin"
"157","GTEX-117YW-0126-SM-5EGGN","Thyroid"
"158","GTEX-117YW-0226-SM-5N9CM","Blood Vessel"
"159","GTEX-117YW-0326-SM-5N9CY","Heart"
"160","GTEX-117YW-0426-SM-5GZZZ","Heart"
"161","GTEX-117YW-0526-SM-5H11C","Lung"
"162","GTEX-117YW-0826-SM-5H11O","Adipose Tissue"
"163","GTEX-117YW-1426-SM-5EGGO","Prostate"
"164","GTEX-117YW-1526-SM-5EGGP","Testis"
"165","GTEX-117YW-1826-SM-5PNY5","Colon"
"166","GTEX-117YW-1926-SM-5H121","Esophagus"
"167","GTEX-117YW-2026-SM-5N9BH","Esophagus"
"168","GTEX-117YW-2226-SM-5N9DB","Stomach"
"169","GTEX-117YW-2426-SM-5Q5AE","Muscle"
"170","GTEX-117YW-2626-SM-5GZZH","Skin"
"171","GTEX-117YW-2726-SM-5GZZT","Blood Vessel"
"172","GTEX-117YW-2826-SM-5H116","Pituitary"
"173","GTEX-117YX-0126-SM-5EGH5","Adrenal Gland"
"174","GTEX-117YX-0226-SM-5EGH6","Pancreas"
"175","GTEX-117YX-0326-SM-5GICL","Small Intestine"
"176","GTEX-117YX-0526-SM-5EGJH","Colon"
"177","GTEX-117YX-0626-SM-5EGJI","Heart"
"178","GTEX-117YX-0726-SM-5GIET","Adipose Tissue"
"179","GTEX-117YX-0826-SM-5H11J","Colon"
"180","GTEX-117YX-1026-SM-5H11V","Stomach"
"181","GTEX-117YX-1126-SM-5H128","Heart"
"182","GTEX-117YX-1226-SM-5H11S","Thyroid"
"183","GTEX-117YX-1326-SM-5H125","Lung"
"184","GTEX-117YX-1426-SM-5H12H","Breast"
"185","GTEX-117YX-1526-SM-5H12T","Prostate"
"186","GTEX-117YX-1726-SM-5GZZS","Blood Vessel"
"187","GTEX-117YX-1826-SM-5H12K","Esophagus"
"188","GTEX-117YX-1926-SM-5GIEC","Skin"
"189","GTEX-117YX-2026-SM-5GIEF","Testis"
"190","GTEX-117YX-2126-SM-5GIEL","Spleen"
"191","GTEX-117YX-2226-SM-5EGJJ","Adipose Tissue"
"192","GTEX-117YX-2326-SM-5H12W","Skin"
"193","GTEX-117YX-2426-SM-5GZZJ","Nerve"
"194","GTEX-117YX-2526-SM-5EQ4Q","Muscle"
"195","GTEX-117YX-2626-SM-5EQ53","Blood Vessel"
"196","GTEX-1192W-0005-SM-5NQBQ","Blood"
"197","GTEX-1192W-0008-SM-5QGRE","Skin"
"198","GTEX-1192W-0126-SM-5EGGS","Thyroid"
"199","GTEX-1192W-0226-SM-5EGGT","Heart"
"200","GTEX-1192W-2626-SM-5Q5AF","Skin"
"201","GTEX-1192W-3026-SM-5GZZV","Pituitary"
"202","GTEX-1192X-0005-SM-5NQC3","Blood"
"203","GTEX-1192X-0008-SM-5Q5B7","Skin"
"204","GTEX-1192X-0011-R10a-SM-DO941","Brain"
"205","GTEX-1192X-0011-R5a-SM-DNZZA","Brain"
"206","GTEX-1192X-0011-R6a-SM-DNZZB","Brain"
"207","GTEX-1192X-0011-R7b-SM-DNZZC","Brain"
"208","GTEX-1192X-0011-R8b-SM-DO11U","Brain"
"209","GTEX-1192X-0011-R9b-SM-DO934","Brain"
"210","GTEX-1192X-0226-SM-5H12D","Skin"
"211","GTEX-1192X-0326-SM-5H11U","Nerve"
"212","GTEX-1192X-0426-SM-5GIEE","Muscle"
"213","GTEX-1192X-0726-SM-5987R","Heart"
"214","GTEX-1192X-1126-SM-5EGGU","Thyroid"
"215","GTEX-1192X-1526-SM-5H11I","Adipose Tissue"
"216","GTEX-1192X-1826-SM-5GIE2","Esophagus"
"217","GTEX-1192X-2326-SM-5987X","Breast"
"218","GTEX-1192X-2526-SM-59868","Small Intestine"
"219","GTEX-1192X-2726-SM-5N9DN","Skin"
"220","GTEX-1192X-2926-SM-5N9BA","Salivary Gland"
"221","GTEX-1192X-3026-SM-5N9BM","Pituitary"
"222","GTEX-1192X-3126-SM-5N9BY","Brain"
"223","GTEX-1192X-3226-SM-5987D","Brain"
"224","GTEX-11DXW-0006-SM-5NQ7Y","Blood"
"225","GTEX-11DXW-0008-SM-5Q59V","Skin"
"226","GTEX-11DXW-0011-R1a-SM-DNZZD","Brain"
"227","GTEX-11DXW-0011-R3b-SM-DNZZE","Brain"
"228","GTEX-11DXW-0011-R5b-SM-DO11D","Brain"
"229","GTEX-11DXW-0011-R6a-SM-DO11N","Brain"
"230","GTEX-11DXW-0011-R7b-SM-DO119","Brain"
"231","GTEX-11DXW-0226-SM-5H122","Skin"
"232","GTEX-11DXW-0326-SM-5H11W","Adipose Tissue"
"233","GTEX-11DXW-0426-SM-5H12E","Nerve"
"234","GTEX-11DXW-0526-SM-5H127","Blood Vessel"
"235","GTEX-11DXW-0626-SM-5N9ER","Breast"
"236","GTEX-11DXW-0726-SM-5H12J","Muscle"
"237","GTEX-11DXW-0826-SM-5H118","Skin"
"238","GTEX-11DXW-1026-SM-5H11K","Brain"
"239","GTEX-11DXW-1126-SM-5H12Q","Brain"
"240","GTEX-11DXW-1226-SM-5H133","Pituitary"
"241","GTEX-11DXX-0005-SM-5NQ8B","Blood"
"242","GTEX-11DXX-0008-SM-5Q5B8","Skin"
"243","GTEX-11DXX-0126-SM-5EGH7","Adrenal Gland"
"244","GTEX-11DXX-0226-SM-5P9HL","Thyroid"
"245","GTEX-11DXX-0326-SM-5PNWC","Heart"
"246","GTEX-11DXX-0426-SM-5EQ5F","Blood Vessel"
"247","GTEX-11DXX-0526-SM-5PNVR","Heart"
"248","GTEX-11DXX-0626-SM-5Q5AG","Lung"
"249","GTEX-11DXX-0726-SM-5H12X","Spleen"
"250","GTEX-11DXX-0826-SM-5GZZP","Blood Vessel"
"251","GTEX-11DXX-0926-SM-5H112","Pancreas"
"252","GTEX-11DXX-1026-SM-5H11E","Esophagus"
"253","GTEX-11DXX-1126-SM-5GZZK","Esophagus"
"254","GTEX-11DXX-1226-SM-5GICD","Esophagus"
"255","GTEX-11DXX-1326-SM-5GIDZ","Stomach"
"256","GTEX-11DXX-1426-SM-5GIDU","Ovary"
"257","GTEX-11DXX-1526-SM-5H115","Uterus"
"258","GTEX-11DXX-1626-SM-5H11H","Small Intestine"
"259","GTEX-11DXX-1726-SM-5H11T","Vagina"
"260","GTEX-11DXX-1826-SM-5H126","Colon"
"261","GTEX-11DXX-1926-SM-5EGJK","Colon"
"262","GTEX-11DXX-2026-SM-5EGJL","Adipose Tissue"
"263","GTEX-11DXX-2126-SM-5PNYR","Skin"
"264","GTEX-11DXX-2326-SM-9YFKS","Adipose Tissue"
"265","GTEX-11DXX-2426-SM-5GZZW","Skin"
"266","GTEX-11DXX-2526-SM-5H119","Nerve"
"267","GTEX-11DXX-2626-SM-5Q5A3","Blood Vessel"
"268","GTEX-11DXX-2726-SM-5PNXO","Muscle"
"269","GTEX-11DXY-0006-SM-5NQ8N","Blood"
"270","GTEX-11DXY-0008-SM-5QGR4","Skin"
"271","GTEX-11DXY-0011-R10b-SM-DO12C","Brain"
"272","GTEX-11DXY-0011-R11a-SM-DNZZN","Brain"
"273","GTEX-11DXY-0011-R5b-SM-DNZZL","Brain"
"274","GTEX-11DXY-0011-R6a-SM-DNZZF","Brain"
"275","GTEX-11DXY-0011-R7a-SM-DO11L","Brain"
"276","GTEX-11DXY-0011-R8a-SM-DO11M","Brain"
"277","GTEX-11DXY-0126-SM-5H11Q","Skin"
"278","GTEX-11DXY-0226-SM-5H123","Testis"
"279","GTEX-11DXY-0326-SM-5H12F","Adipose Tissue"
"280","GTEX-11DXY-0426-SM-5H12R","Thyroid"
"281","GTEX-11DXY-0526-SM-5EGGQ","Liver"
"282","GTEX-11DXY-0826-SM-5EGGR","Heart"
"283","GTEX-11DXY-1026-SM-5987V","Heart"
"284","GTEX-11DXY-1126-SM-5987W","Blood Vessel"
"285","GTEX-11DXY-1326-SM-5987Z","Esophagus"
"286","GTEX-11DXY-1426-SM-5N9CN","Esophagus"
"287","GTEX-11DXY-1526-SM-5H129","Esophagus"
"288","GTEX-11DXY-1626-SM-5H12L","Adrenal Gland"
"289","GTEX-11DXY-2026-SM-5N9CZ","Colon"
"290","GTEX-11DXY-2326-SM-5GICW","Breast"
"291","GTEX-11DXY-2626-SM-5GIE7","Skin"
"292","GTEX-11DXY-2726-SM-5GID2","Muscle"
"293","GTEX-11DXY-3026-SM-5N9CB","Pituitary"
"294","GTEX-11DXY-3126-SM-5N9BT","Brain"
"295","GTEX-11DXY-3226-SM-5GIDE","Brain"
"296","GTEX-11DXZ-0006-SM-5LZZH","Blood"
"297","GTEX-11DXZ-0126-SM-5EGGY","Liver"
"298","GTEX-11DXZ-0226-SM-5EGGZ","Adrenal Gland"
"299","GTEX-11DXZ-0326-SM-5EGH1","Heart"
"300","GTEX-11DXZ-0426-SM-5987Y","Blood Vessel"
"301","GTEX-11DXZ-0526-SM-5GU7J","Blood Vessel"
"302","GTEX-11DXZ-0626-SM-5GU77","Heart"
"303","GTEX-11DXZ-0726-SM-5N9C4","Lung"
"304","GTEX-11DXZ-0926-SM-5N9CG","Thyroid"
"305","GTEX-11DXZ-1026-SM-5N9D5","Esophagus"
"306","GTEX-11DXZ-1226-SM-5H11L","Esophagus"
"307","GTEX-11DXZ-1326-SM-5H11X","Small Intestine"
"308","GTEX-11DXZ-1426-SM-5H12A","Adipose Tissue"
"309","GTEX-11DXZ-1626-SM-5GIDI","Colon"
"310","GTEX-11DXZ-1726-SM-5H12M","Colon"
"311","GTEX-11DXZ-1826-SM-5H12Y","Prostate"
"312","GTEX-11DXZ-1926-SM-5GZZL","Breast"
"313","GTEX-11DXZ-2026-SM-5987S","Skin"
"314","GTEX-11DXZ-2126-SM-59881","Testis"
"315","GTEX-11DXZ-2326-SM-5EGGV","Skin"
"316","GTEX-11DXZ-2426-SM-5N9DT","Muscle"
"317","GTEX-11DXZ-2526-SM-5N9BG","Nerve"
"318","GTEX-11DXZ-2626-SM-59882","Blood Vessel"
"319","GTEX-11DYG-0006-SM-5NQB2","Blood"
"320","GTEX-11DYG-0008-SM-5QGR5","Skin"
"321","GTEX-11DYG-0011-R10b-SM-DNZZO","Brain"
"322","GTEX-11DYG-0011-R11a-SM-DNZZP","Brain"
"323","GTEX-11DYG-0011-R5a-SM-DO928","Brain"
"324","GTEX-11DYG-0011-R6a-SM-DO936","Brain"
"325","GTEX-11DYG-0011-R7b-SM-EXUS6","Brain"
"326","GTEX-11DYG-0011-R8a-SM-DO93F","Brain"
"327","GTEX-11DYG-0126-SM-59883","Skin"
"328","GTEX-11DYG-0426-SM-5987J","Nerve"
"329","GTEX-11DYG-0826-SM-5N9GH","Thyroid"
"330","GTEX-11DYG-0926-SM-5EGGW","Blood Vessel"
"331","GTEX-11DYG-1026-SM-5A5JQ","Heart"
"332","GTEX-11DYG-1226-SM-5N9DC","Blood Vessel"
"333","GTEX-11DYG-1326-SM-5N9DO","Esophagus"
"334","GTEX-11DYG-1426-SM-5A5JR","Esophagus"
"335","GTEX-11DYG-1526-SM-5A5JS","Skin"
"336","GTEX-11DYG-1926-SM-5H12I","Esophagus"
"337","GTEX-11DYG-2026-SM-5EGGX","Adipose Tissue"
"338","GTEX-11DYG-2526-SM-5N9BB","Prostate"
"339","GTEX-11DYG-2926-SM-5H132","Brain"
"340","GTEX-11DYG-3126-SM-5A5L6","Pituitary"
"341","GTEX-11DZ1-0008-SM-5QGR3","Skin"
"342","GTEX-11DZ1-0011-R10b-SM-DO943","Brain"
"343","GTEX-11DZ1-0011-R11b-SM-DO11W","Brain"
"344","GTEX-11DZ1-0011-R2a-SM-DNZZM","Brain"
"345","GTEX-11DZ1-0011-R3a-SM-DNZYY","Brain"
"346","GTEX-11DZ1-0011-R5a-SM-DO11J","Brain"
"347","GTEX-11DZ1-0011-R6b-SM-DNZZG","Brain"
"348","GTEX-11DZ1-0011-R7a-SM-DNZZH","Brain"
"349","GTEX-11DZ1-0011-R8b-SM-DNZZI","Brain"
"350","GTEX-11DZ1-0011-R9a-SM-DO933","Brain"
"351","GTEX-11DZ1-0126-SM-5985Q","Skin"
"352","GTEX-11DZ1-0226-SM-5A5KF","Adipose Tissue"
"353","GTEX-11DZ1-0326-SM-5N9BN","Breast"
"354","GTEX-11DZ1-0426-SM-5H11A","Lung"
"355","GTEX-11DZ1-0926-SM-5EQ5R","Muscle"
"356","GTEX-11DZ1-2026-SM-5A5KG","Esophagus"
"357","GTEX-11DZ1-2426-SM-5GZZX","Skin"
"358","GTEX-11DZ1-2726-SM-5A5KH","Thyroid"
"359","GTEX-11DZ1-2926-SM-5A5KI","Brain"
"360","GTEX-11EI6-0005-SM-5N9GN","Blood"
"361","GTEX-11EI6-0008-SM-5QGR7","Skin"
"362","GTEX-11EI6-0011-R10a-SM-DO93R","Brain"
"363","GTEX-11EI6-0011-R11a-SM-DO11V","Brain"
"364","GTEX-11EI6-0011-R1a-SM-DO93L","Brain"
"365","GTEX-11EI6-0011-R8a-SM-DO93M","Brain"
"366","GTEX-11EI6-0126-SM-5985R","Skin"
"367","GTEX-11EI6-0226-SM-5EQ64","Adipose Tissue"
"368","GTEX-11EI6-0326-SM-5EQ6G","Muscle"
"369","GTEX-11EI6-0426-SM-5EQ43","Nerve"
"370","GTEX-11EI6-0526-SM-5985S","Blood Vessel"
"371","GTEX-11EI6-0626-SM-5985T","Breast"
"372","GTEX-11EI6-0726-SM-59866","Thyroid"
"373","GTEX-11EI6-0826-SM-5985V","Lung"
"374","GTEX-11EI6-1526-SM-5P9GL","Esophagus"
"375","GTEX-11EI6-2226-SM-5EGJM","Testis"
"376","GTEX-11EI6-2426-SM-5PNVS","Stomach"
"377","GTEX-11EI6-2626-SM-5PNVT","Colon"
"378","GTEX-11EI6-2826-SM-5H11D","Skin"
"379","GTEX-11EI6-2926-SM-5985U","Brain"
"380","GTEX-11EI6-3026-SM-5GZZO","Brain"
"381","GTEX-11EI6-3126-SM-5H111","Pituitary"
"382","GTEX-11EM3-0001-SM-5Q5BD","Blood"
"383","GTEX-11EM3-0005-SM-5N9DK","Blood"
"384","GTEX-11EM3-0126-SM-5985K","Thyroid"
"385","GTEX-11EM3-0226-SM-5985Y","Blood Vessel"
"386","GTEX-11EM3-0326-SM-5A5KJ","Adrenal Gland"
"387","GTEX-11EM3-0426-SM-5N9BZ","Heart"
"388","GTEX-11EM3-0526-SM-5H12N","Blood Vessel"
"389","GTEX-11EM3-0626-SM-5H12Z","Heart"
"390","GTEX-11EM3-0726-SM-5GZZM","Esophagus"
"391","GTEX-11EM3-0826-SM-5N9CC","Esophagus"
"392","GTEX-11EM3-0926-SM-5A5KK","Esophagus"
"393","GTEX-11EM3-1026-SM-5A5KL","Stomach"
"394","GTEX-11EM3-1126-SM-5A5KM","Adipose Tissue"
"395","GTEX-11EM3-1226-SM-5N9DD","Skin"
"396","GTEX-11EM3-1326-SM-5N9C6","Breast"
"397","GTEX-11EM3-1526-SM-5A5KN","Colon"
"398","GTEX-11EM3-1626-SM-5N9CO","Colon"
"399","GTEX-11EM3-1726-SM-5N9D1","Ovary"
"400","GTEX-11EM3-1826-SM-5A5KO","Vagina"
"401","GTEX-11EM3-1926-SM-5987U","Uterus"
"402","GTEX-11EM3-2126-SM-5H11M","Muscle"
"403","GTEX-11EM3-2226-SM-5H11Y","Blood Vessel"
"404","GTEX-11EM3-2326-SM-5H12B","Adipose Tissue"
"405","GTEX-11EM3-2426-SM-59861","Skin"
"406","GTEX-11EMC-0002-SM-5Q5DO","Blood"
"407","GTEX-11EMC-0006-SM-5O9DN","Blood"
"408","GTEX-11EMC-0008-SM-5Q5DR","Skin"
"409","GTEX-11EMC-0011-R10a-SM-DNZZJ","Brain"
"410","GTEX-11EMC-0011-R11b-SM-DNZZK","Brain"
"411","GTEX-11EMC-0011-R2b-SM-DO114","Brain"
"412","GTEX-11EMC-0011-R8b-SM-DO91Z","Brain"
"413","GTEX-11EMC-0011-R9b-SM-DO921","Brain"
"414","GTEX-11EMC-0126-SM-5EGKV","Lung"
"415","GTEX-11EMC-0226-SM-5EGLP","Thyroid"
"416","GTEX-11EMC-0526-SM-5EGJN","Adrenal Gland"
"417","GTEX-11EMC-0726-SM-5EGJO","Heart"
"418","GTEX-11EMC-0826-SM-59862","Heart"
"419","GTEX-11EMC-0926-SM-59863","Blood Vessel"
"420","GTEX-11EMC-1426-SM-5N9E4","Colon"
"421","GTEX-11EMC-1726-SM-5H11P","Ovary"
"422","GTEX-11EMC-1826-SM-5A5JT","Uterus"
"423","GTEX-11EMC-1926-SM-5A5JU","Vagina"
"424","GTEX-11EMC-2026-SM-5A5JV","Breast"
"425","GTEX-11EMC-2226-SM-5A5JW","Esophagus"
"426","GTEX-11EMC-2526-SM-5PNVU","Salivary Gland"
"427","GTEX-11EMC-2626-SM-59864","Muscle"
"428","GTEX-11EMC-2826-SM-5PNY6","Adipose Tissue"
"429","GTEX-11EMC-2926-SM-5EQ4F","Skin"
"430","GTEX-11EMC-3026-SM-5EQ4R","Blood Vessel"
"431","GTEX-11EMC-3126-SM-5EGJP","Pituitary"
"432","GTEX-11EMC-3226-SM-5EGKW","Brain"
"433","GTEX-11EMC-3326-SM-5P9JH","Brain"
"434","GTEX-11EQ8-0006-SM-5P9HJ","Blood"
"435","GTEX-11EQ8-0008-SM-5Q5DJ","Skin"
"436","GTEX-11EQ8-0226-SM-5EQ5G","Adipose Tissue"
"437","GTEX-11EQ8-0426-SM-5N9DP","Blood Vessel"
"438","GTEX-11EQ8-0526-SM-5N9BC","Muscle"
"439","GTEX-11EQ8-0826-SM-5N9FG","Thyroid"
"440","GTEX-11EQ8-0926-SM-5H12V","Skin"
"441","GTEX-11EQ8-1326-SM-5EGJQ","Heart"
"442","GTEX-11EQ8-1426-SM-5EGJR","Testis"
"443","GTEX-11EQ8-2626-SM-5N9BO","Colon"
"444","GTEX-11EQ9-0002-SM-5QGQ1","Blood"
"445","GTEX-11EQ9-0006-SM-5LUB6","Blood"
"446","GTEX-11EQ9-0008-SM-5Q5DK","Skin"
"447","GTEX-11EQ9-0126-SM-5986I","Adrenal Gland"
"448","GTEX-11EQ9-0226-SM-5A5JX","Lung"
"449","GTEX-11EQ9-0426-SM-5A5JY","Spleen"
"450","GTEX-11EQ9-0526-SM-5A5JZ","Liver"
"451","GTEX-11EQ9-0626-SM-5A5K1","Thyroid"
