Gene	X237L.Vneut	X237L.Bldneut	X244L.Vneut	X244L.Bldneut	X253L.Vneut	X253L.Bldneut	X270L.Vneut	X270L.Bldneut	X131_V.Neut	X131_Bld.Neut	X132_V.Neut	X132_Bld.Neut	X135_V.Neut	X135_Bld.Neut	X136_V.Neut	X136.Bld.Neut	X138L_V.Neut	X138L_Bld.Neut	X139L_V.Neut	X139L_Bld.Neut	X141_V.Neut	X141_Bld.Neut	X143_V.Neut	X143_Bld.Neut	X146_V.Neut	X146_Bld.Neut	X149_V.Neut	X149_Bld.Neut	X154_V.Neut	X154_Bld.Neut
ABHD11	2	27	5	43	1	37	2	54	13	12	3	51	17	22	3	13	0	64	0	41	0	24	0	27	0	19	39	19	0	31
ABHD12	69	37	21	59	2	69	0	6	27	58	2	100	64	150	36	64	0	64	1	95	0	99	257	132	0	50	14	113	0	102
ABHD12B	0	0	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ABHD13	48	111	216	129	86	160	1	113	23	36	61	141	92	74	26	21	123	172	15	80	0	100	1	114	0	102	83	59	19	136
ABHD14A	1	4	0	22	0	3	0	22	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ABHD14B	142	45	1	109	0	138	0	12	32	39	3	96	93	152	1	38	0	22	398	55	0	26	192	121	0	67	8	71	20	216
ABHD15	142	99	0	51	0	41	0	12	0	15	1	25	35	35	13	2	2	5	0	31	0	7	73	17	0	28	4	25	1	37
ABHD16A	216	374	821	417	141	540	7	372	159	94	42	93	58	59	249	151	35	114	0	79	1	133	0	196	148	170	34	52	44	180
ABHD16B	87	197	93	201	14	56	8	351	375	250	279	174	89	187	564	786	403	557	0	508	347	67	131	134	383	209	186	283	134	100
ABHD2	848	2728	5569	5833	1725	5547	10	3883	2368	705	1774	1379	4241	1451	3695	1559	2245	1409	5768	907	1239	1413	3621	3165	650	1282	2938	828	1206	4981
ABHD3	341	1020	856	1482	201	2242	2	2013	740	936	385	1626	1126	1272	1679	2074	503	1295	102	868	441	1332	153	2521	345	1585	529	501	305	1574
ABHD4	56	299	230	303	98	430	2	427	51	85	60	176	141	125	20	201	17	203	38	118	0	207	154	321	20	141	86	50	27	166
ABHD5	1376	1940	6411	1307	1069	2563	5	1496	807	616	1055	1191	751	754	1303	625	1826	1206	1754	773	906	977	469	1254	909	717	1556	275	1076	841
ABHD6	1	40	10	37	0	41	0	3	0	12	0	37	16	84	0	11	0	12	0	20	0	19	0	19	0	23	0	38	0	76
ABHD8	2	39	22	30	0	40	2	33	12	13	14	35	20	28	31	7	0	36	0	20	0	33	125	40	54	37	18	15	0	33
ABI1	172	459	1247	577	376	993	1	698	325	450	404	1288	518	795	477	529	543	1013	0	750	431	955	423	1459	378	828	656	455	274	849
ABI2	1	4	0	23	0	37	0	2	0	14	0	21	12	59	0	1	0	14	0	19	0	1	0	13	0	18	6	27	0	38
ABI3	0	17	1	253	16	459	0	24	0	46	0	239	172	313	12	16	0	29	0	123	1	34	1	108	0	81	8	91	11	270
ABI3BP	0	0	14	0	2	0	0	0	313	0	16	0	27	0	71	0	94	1	0	0	0	0	509	0	0	0	58	1	17	0
ABL1	464	58	47	139	0	133	0	36	269	42	69	94	65	162	91	53	281	41	0	56	0	67	0	134	194	59	43	75	21	151
ABL2	48	16	37	48	39	85	1	29	47	18	0	43	16	30	1	1	15	28	0	11	0	29	0	15	0	25	10	15	6	15
ABLIM1	101	5	33	45	0	14	1	19	62	2	8	10	2	9	6	8	5	10	0	3	0	6	0	16	0	2	2	3	0	4
ABLIM2	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM3	17	0	2	12	0	3	9	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ABO	0	12	0	1	0	4	0	2	0	0	0	5	0	1	0	1	0	1	0	5	0	3	0	1	0	2	0	1	0	10
ABP1	0	79	37	25	0	27	0	11	0	16	3	38	8	16	0	10	0	36	164	5	0	75	0	20	1	19	0	22	0	14
ABR	51	0	3	4	0	0	0	1	0	2	0	4	5	3	0	0	0	3	0	2	0	3	0	0	0	1	2	3	0	6
ABRA	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ABRACL	118	113	79	153	47	125	0	78	13	72	4	96	83	88	3	74	0	70	0	79	0	45	1	183	0	68	19	42	4	94
ABT1	113	192	87	218	45	225	3	173	0	91	46	111	77	143	15	75	48	152	0	115	0	156	0	259	0	115	35	92	7	170
ABTB1	2501	8515	13679	9550	4317	9789	38	11310	7738	1721	5181	3587	6510	2971	8255	4203	5930	2730	4237	2203	3913	2633	3300	5483	2839	2982	8001	1264	3943	7629
ABTB2	6	126	33	83	64	75	1	80	57	50	31	107	108	141	1	88	111	37	0	55	0	242	68	191	43	120	20	97	0	190
ACAA1	524	976	1025	949	215	1070	1	715	142	349	586	877	722	642	316	477	651	874	194	565	917	960	630	1374	251	641	514	403	151	1610
ACAA2	251	431	29	232	1	183	0	515	40	475	3	491	65	598	2	139	52	597	0	595	0	146	1	190	256	548	56	574	0	400
ACACA	15	4	2	27	0	21	2	1	0	11	0	15	36	38	1	3	0	1	0	6	0	4	0	8	0	1	0	22	0	16
ACACB	2672	216	113	91	1	101	0	37	225	49	23	85	94	141	122	57	228	40	0	56	0	140	0	154	0	42	83	108	86	219
ACAD10	3	19	30	29	34	39	82	22	0	15	11	27	12	35	21	15	0	26	1	18	0	41	1	30	0	19	20	17	11	45
ACAD11	0	13	6	38	0	25	0	2	95	38	8	41	12	72	0	23	0	12	0	19	256	11	0	43	0	9	21	33	12	51
ACAD8	182	103	133	148	103	247	3	133	75	91	19	276	57	211	18	27	0	142	0	127	141	203	1	145	0	165	42	177	0	145
ACAD9	3	214	14	247	1	85	10	219	13	41	8	61	31	85	11	53	0	39	137	55	0	38	1	75	0	19	5	61	0	79
ACADL	29	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ACADM	75	19	2	21	0	31	0	3	0	0	0	14	4	12	0	1	0	3	0	6	0	3	0	4	0	7	1	7	0	10
ACADS	177	28	3	31	12	17	5	50	80	29	0	60	31	64	0	19	0	87	22	67	10	27	0	37	9	35	0	58	0	52
ACADSB	98	10	13	28	1	31	1	13	0	4	1	13	12	25	0	7	1	15	0	10	0	2	0	9	0	7	3	7	0	18
ACADVL	93	116	54	70	8	88	2	50	25	29	4	36	16	26	0	1	14	13	33	12	9	17	2	10	37	17	16	15	6	15
ACAN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP1	346	1117	1308	1156	305	1408	12	957	577	540	542	982	724	673	717	914	464	867	0	489	1353	830	260	1458	450	635	540	493	230	1477
ACAP2	394	1293	1398	1216	414	1821	1	1013	257	426	236	793	436	579	241	470	299	705	0	485	122	811	183	1175	73	565	472	294	164	997
ACAP3	84	128	74	164	23	128	1	102	50	17	50	74	58	47	46	10	80	48	1027	29	0	61	68	54	89	55	67	27	23	96
ACAT1	279	15	7	26	7	49	0	4	10	48	3	91	53	124	0	8	137	22	0	34	1	20	177	39	2	23	16	68	7	47
ACAT2	1	51	20	39	4	59	0	23	0	25	24	29	14	29	1	8	49	12	0	18	52	19	0	24	59	18	9	29	24	17
ACBD3	46	157	103	186	11	272	1	104	122	116	27	294	200	257	102	266	76	219	113	180	101	297	372	466	0	219	174	142	76	409
ACBD4	36	149	13	229	31	53	0	212	23	152	12	70	31	104	0	59	105	335	0	320	170	24	1	49	128	125	27	192	0	74
ACBD5	263	189	58	236	40	220	1	73	139	121	32	314	164	296	30	163	54	226	0	176	1	254	0	336	0	222	103	159	19	264
ACBD6	29	21	28	42	9	79	0	2	15	26	0	41	68	61	3	6	1	34	0	21	0	38	0	20	0	27	5	24	0	29
ACBD7	1	12	3	5	1	2	13	24	0	2	0	0	0	1	0	0	0	20	0	9	0	0	0	0	5	0	2	6	0	0
ACCS	5	85	0	50	0	10	0	75	0	17	0	7	4	8	5	5	5	38	0	15	6	3	0	1	0	10	6	13	0	5
ACCSL	2	18	0	13	0	4	5	37	0	2	0	1	0	2	0	6	0	10	0	2	0	0	0	0	5	2	0	2	0	0
ACD	7	130	42	108	60	75	14	186	21	116	13	125	115	98	33	56	76	257	0	217	41	92	12	135	24	93	62	65	7	68
ACE	1	2	2	7	0	2	0	4	0	1	0	0	0	4	16	5	0	0	0	0	0	0	0	7	0	0	1	1	0	8
ACE2	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER1	1	20	0	18	0	1	0	43	0	8	0	0	0	2	0	1	0	7	6	3	0	0	0	0	4	1	0	1	0	1
ACER2	68	332	11	332	12	93	1	769	2	148	0	56	3	42	1	16	34	357	143	317	0	7	19	5	0	97	6	158	0	5
ACER3	184	34	13	28	1	35	1	6	0	31	3	80	10	67	10	24	5	35	93	37	0	35	95	69	0	27	6	53	0	25
ACHE	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACIN1	147	1488	716	1137	541	1988	5	621	224	503	126	915	367	699	257	608	155	929	0	505	584	928	410	1478	186	626	302	367	78	918
ACLY	490	370	405	564	42	691	1	347	86	126	16	228	227	246	39	105	40	208	67	177	0	311	79	325	106	156	92	144	42	232
ACMSD	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACN9	0	115	213	70	72	165	1	121	0	90	16	261	105	150	10	50	44	172	0	100	0	122	1	252	1	203	49	87	37	167
ACO1	86	4	18	20	0	44	1	3	22	1	0	15	2	16	3	0	1	4	0	2	0	1	30	7	55	3	4	1	3	14
ACO2	273	123	99	212	7	201	0	146	16	32	20	63	95	78	14	29	58	45	4	59	0	45	217	78	23	26	27	37	8	107
ACOT1	7	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ACOT11	1	96	4	53	0	25	35	94	0	15	0	8	19	22	0	2	2	20	51	29	1	19	0	8	0	16	3	37	0	26
ACOT12	0	5	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1
ACOT13	0	67	215	150	10	248	0	305	27	157	66	296	110	188	55	264	167	256	0	207	120	201	0	392	0	214	94	120	28	248
ACOT2	403	2	0	8	0	13	0	1	0	4	0	17	34	22	28	10	0	5	0	4	0	3	1	19	0	4	0	20	3	31
ACOT4	13	0	0	1	0	3	1	4	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT6	4	0	0	1	8	0	15	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ACOT7	15	5	3	26	0	16	1	1	19	1	0	10	8	15	0	2	0	5	0	8	0	3	0	8	0	2	0	4	0	12
ACOT8	60	176	136	204	146	175	23	198	34	28	34	120	99	71	28	28	1	121	0	104	4	116	0	175	127	68	58	69	20	146
ACOT9	376	318	1688	401	106	406	3	291	214	143	524	332	326	262	1529	404	640	321	302	178	506	402	8	609	224	221	396	174	342	477
ACOX1	71	816	918	913	154	1226	5	1095	8	85	17	243	24	96	3	4	14	368	71	136	1	165	6	88	11	152	64	21	9	69
ACOX2	74	26	1	13	1	4	0	49	102	11	0	1	17	0	0	0	36	49	0	28	0	0	0	0	313	4	1	20	1	0
ACOX3	59	25	40	37	43	23	0	9	0	16	21	21	13	7	34	14	36	11	0	9	0	4	0	29	0	13	9	8	9	17
ACOXL	0	0	0	5	0	2	0	1	0	2	0	5	9	3	0	7	0	16	0	1	0	10	0	14	0	4	0	1	0	2
ACP1	38	218	45	449	7	450	5	156	7	208	12	284	205	405	31	113	13	262	0	324	0	137	0	251	0	225	24	309	32	314
ACP2	58	43	14	97	0	46	4	92	0	3	4	4	10	8	0	1	0	22	0	10	0	4	5	9	15	10	4	19	3	13
ACP5	14	177	47	122	1	127	1	27	0	77	7	114	128	200	0	184	0	32	0	184	0	117	1	318	0	192	38	174	0	247
ACP6	136	92	95	87	20	31	0	76	0	84	56	52	41	58	30	18	61	143	0	100	0	37	0	53	0	56	32	101	11	63
ACPL2	0	149	262	173	25	151	0	48	30	189	41	605	107	272	15	90	657	393	0	120	2	553	1	337	0	287	188	154	77	208
ACPP	3	403	171	595	156	805	1	388	60	288	132	473	278	479	142	506	263	480	513	380	0	606	2	893	325	409	182	292	47	768
ACPT	0	1	0	0	1	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
