"term","estimate","std.error","statistic","p.value","log2fc","colind","labtext","patient","t6820.ind","direction","patnum","protval","nudgeval","patval","sizeval","pointlab"
"o__Erysipelotrichales",2077.52563007202,444697.888593398,0.00467176859472694,0.996272481525739,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"o__Flavobacteriales",11311.1759019205,2140223.63325572,0.00528504392072049,0.995783164683057,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"o__Gaiellales",5178.10421545573,1108381.99935962,0.00467176859462479,0.996272481525821,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"o__Lactobacillales",-22.7689067297932,84.1573477421667,-0.270551619563278,0.786735910328024,-0.280510574410583,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"a",NA
"o__Micrococcales",30.7589093753814,31.8490395399367,0.965771961092001,0.334158301779378,2.53234659486708,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"o__Oligoflexales",-1671.06111894832,389380.93152911,-0.00429158436800184,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"o__Pasteurellales",10362.2924719453,2218066.29798552,0.00467176859472438,0.996272481525741,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"o__Pinus wallichiana",-313.735872316594,73104.906117158,-0.00429158436800125,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"o__Propionibacteriales",70.2220670791489,102.31452990616,0.686335236486498,0.492501733816555,1.0591817026636,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"b",NA
"o__Pseudomonadales",-52.3382337616376,45.7578107031875,-1.14380983174948,0.252702511550361,-2.11298288024953,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"o__Rhizobiales",4.28602975572423,7.62302160987103,0.562248144511917,0.573946963418342,0.288038089212269,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"a",NA
"o__Rhodobacterales",73.0302016303294,89.0027087948763,0.820539089418519,0.411908854932941,1.31510300933807,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"b",NA
"o__Rhodocyclales",-83.7054925104488,189.274120494552,-0.4422447838708,0.658312082254821,-0.669053549343855,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"a",NA
"o__Rhodospirillales",40.7969311238272,44.2303261014539,0.922374640201581,0.356333192998173,3.55332388291116,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"o__Rickettsiales",-1444.28584027876,336539.076581804,-0.00429158436799743,0.996575821602308,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"o__Rubus hybrid cultivar",4183.72403995176,895533.234403194,0.00467176859465177,0.996272481525799,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"o__Selenomonadales",8412.95032375701,1800806.30133328,0.00467176859472794,0.996272481525738,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"o__Sphingobacteriales",-186.58301596801,359.219435545561,-0.519412363322265,0.603473211618534,-1.26259601317655,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"b",NA
"o__Sphingomonadales",24.6450348173215,29.907083197761,0.824053440930894,0.409909193418233,0.430657611996865,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"a",NA
"o__unclassified-c__Acidobacteria",-3981.61413934897,927772.542242508,-0.00429158436800151,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"o__unclassified-c__Betaproteobacteria",6419.01084710511,1374000.17107078,0.00467176859381517,0.996272481526467,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"o__unclassified-c__Chloroplast",-58803.0663542022,13701948.1179569,-0.00429158436800229,0.996575821602304,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"o__Verrucomicrobiales",-10.6586411619347,27.3275141601023,-0.390033323173469,0.696511906088649,-0.652196181453011,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"a",NA
"o__Xanthomonadales",53.2378280172976,48.9113965705562,1.08845446562746,0.276394527833354,1.08958291696464,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"b",NA
"f__Acetobacteraceae",214.652180201348,45946.6636356093,0.00467176859464045,0.996272481525808,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"f__Actinomycetaceae",3721.48484780476,796590.150463358,0.00467176859472849,0.996272481525738,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__Aerococcaceae",1003.19714604426,214736.052461319,0.00467176859472616,0.99627248152574,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__Aeromonadaceae",16734.8961598071,3582132.93761278,0.00467176859465177,0.996272481525799,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"f__Alcaligenaceae",6269.82961203172,1277228.28051188,0.00490893421927592,0.996083252907173,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"f__Bacteroidaceae",-12.1803617224981,26.0402556307484,-0.467751234673575,0.639962497399739,-1.55535279265411,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"b",NA
"f__Bifidobacteriaceae",188.280075936066,40301.669938998,0.00467176859472705,0.996272481525739,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__Bradyrhizobiaceae",-34.2616073080862,55.0607382494663,-0.62225114296244,0.533776741670289,-0.30310766006195,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"a",NA
"f__Brevibacteriaceae",-1015.18533694279,236552.575899966,-0.00429158436800151,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"f__Brucellaceae",22.7808493654587,80.5324240183076,0.282877979188605,0.777270375494586,0.506455939291033,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"a",NA
"f__Burkholderiaceae",-0.460838299293878,4.5325644234545,-0.101672752164138,0.919016430664567,-0.0480221980726375,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"a",NA
"f__Campylobacteraceae",5370.36056007779,1149534.79634313,0.00467176859470617,0.996272481525756,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"f__Caulobacteraceae",114.626695903765,68.5351025175829,1.67252534384635,0.0944207745736446,1.44960239128288,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"b",NA
"f__Chitinophagaceae",8393.76878071571,1796700.45952743,0.00467176859459559,0.996272481525844,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__Comamonadaceae",-4.27769649210317,33.358566568426,-0.12823382213767,0.897963934820222,-0.0784479971450261,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"a",NA
"f__Coriobacteriaceae",264.79204516533,205.721355969525,1.28713931481453,0.198045734423747,4.15795529951924,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__Corynebacteriaceae",3680.45560643844,659622.630915158,0.00557963816573756,0.995548115952315,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__Dermabacteraceae",-5055.62297797508,1178031.82798189,-0.00429158436800129,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"f__Enterobacteriaceae",-318.50592879755,342.064387358264,-0.931128584467229,0.351787054034707,-3.19927728320096,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"f__Enterococcaceae",-179.391764871815,187.22792985997,-0.958146388767872,0.337988946479284,-1.96324141002454,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"b",NA
"f__Erysipelotrichaceae",2077.52563007202,444697.888593398,0.00467176859472694,0.996272481525739,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__Family XI",-2874.05245974133,669694.968872233,-0.00429158436800151,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"f__Family XII",12779.3752492886,2735446.97050378,0.00467176859470795,0.996272481525754,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__Flavobacteriaceae",11311.1759019205,2140223.63325572,0.00528504392072049,0.995783164683057,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__Lachnospiraceae",-91.6415045367236,96.1701700757321,-0.95290987282811,0.34063573737606,-1.50100341338012,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"b",NA
"f__Methylobacteriaceae",-36.7159020640878,167.003630424374,-0.219850921628404,0.825987259963617,-0.402532215507557,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"a",NA
"f__Micrococcaceae",43.3196840539825,50.6674228638751,0.854981003678966,0.392561664292696,4.01355017580575,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__Mitochondria",-1444.28584027876,336539.076581804,-0.00429158436799743,0.996575821602308,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"f__Moraxellaceae",-27.5955636101496,60.6250467906431,-0.45518420308104,0.648976724201695,-0.341255891002697,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"a",NA
"f__Mycobacteriaceae",-1084.01396901644,252590.622964088,-0.00429158436800151,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"f__Oxalobacteraceae",60.2192968572096,36.1702455702364,1.66488493256907,0.0959357148288962,0.865182305884745,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"a",NA
"f__Pasteurellaceae",10362.2924719453,2218066.29798552,0.00467176859472438,0.996272481525741,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"f__Phyllobacteriaceae",6.05644252524322,7.79724878679189,0.776740962209966,0.437311614474097,0.51038407969095,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"a",NA
"f__Pinus wallichiana",-313.735872316594,73104.906117158,-0.00429158436800125,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"f__Porphyromonadaceae",-3902.8975809753,722155.423570604,-0.00540451190088406,0.995687844387731,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"f__Prevotellaceae",279.032508422437,555.119471360116,0.50265307347042,0.615208207795551,6.39148574471246,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__Propionibacteriaceae",70.2220670791489,102.31452990616,0.686335236486498,0.492501733816555,1.0591817026636,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"b",NA
"f__Pseudomonadaceae",-39.4358704270504,49.0386376769069,-0.804179567280707,0.42129327746718,-2.91080215007707,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"f__Rhizobiaceae",-212.861430063736,179.308136872487,-1.18712643930437,0.23517775091282,-2.56690418540704,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"f__Rhodobacteraceae",73.0302016303294,89.0027087948763,0.820539089418519,0.411908854932941,1.31510300933807,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"b",NA
"f__Rhodocyclaceae",-83.7054925104488,189.274120494552,-0.4422447838708,0.658312082254821,-0.669053549343855,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"a",NA
"f__Rhodospirillaceae",-1157.44060112511,269700.069222731,-0.00429158436800117,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"f__Rubus hybrid cultivar",4183.72403995176,895533.234403194,0.00467176859465177,0.996272481525799,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__Ruminococcaceae",-80.9862045049685,88.592583524377,-0.914142034052822,0.36064221793922,-1.18135559288404,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"b",NA
"f__Sphingobacteriaceae",-6441.08559328463,1576718.71831709,-0.00408512026809672,0.996740554674782,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"f__Sphingomonadaceae",18.3486223422698,28.4650324352646,0.644602193375271,0.5191850131269,0.353696517800111,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"a",NA
"f__Staphylococcaceae",73.9995895287712,81.6827127961221,0.905939420908708,0.364967917530122,4.38727148026424,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__Streptococcaceae",-9253.9381899791,1835650.5889255,-0.0050412307471848,0.995977696856524,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"f__unclassified-c__Acidobacteria",-3981.61413934897,927772.542242508,-0.00429158436800151,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"f__unclassified-c__Betaproteobacteria",6419.01084710511,1374000.17107078,0.00467176859381517,0.996272481526467,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"f__unclassified-c__Chloroplast",-58803.0663542022,13701948.1179569,-0.00429158436800229,0.996575821602304,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"f__unclassified-o__Blastocatellales",1713.1882198151,366710.847320141,0.00467176859461557,0.996272481525828,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__unclassified-o__Gaiellales",5178.10421545573,1108381.99935962,0.00467176859462479,0.996272481525821,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__unclassified-o__Oligoflexales",-1671.06111894832,389380.93152911,-0.00429158436800184,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"f__unclassified-o__Rhizobiales",-8019.47425429522,1868651.19420432,-0.00429158436800184,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"f__unclassified-o__Sphingomonadales",2103.23758093925,450201.575333321,0.00467176859472794,0.996272481525738,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"f__Veillonellaceae",8412.95032375701,1800806.30133328,0.00467176859472794,0.996272481525738,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"f__Verrucomicrobiaceae",-10.6586411619347,27.3275141601023,-0.390033323173469,0.696511906088649,-0.652196181453011,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"a",NA
"f__Xanthomonadaceae",53.2378280172976,48.9113965705562,1.08845446562746,0.276394527833354,1.08958291696464,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"b",NA
"g__Acidovorax",-8.56992750398335,37.3160110481691,-0.22965818862367,0.818357387132632,-0.183390676316029,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"a",NA
"g__Acinetobacter",6.08504847508591,64.982855148422,0.0936408297417457,0.925394474649581,0.0683940913011412,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"a",NA
"g__Actinomyces",3721.48484780476,796590.150463358,0.00467176859472849,0.996272481525738,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"g__Adlercreutzia-Asaccharobacter",1313.1544222945,281082.933732107,0.00467176859462423,0.996272481525821,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"g__Aerococcus",1003.19714604426,214736.052461319,0.00467176859472616,0.99627248152574,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"g__Aeromonas",16734.8961598071,3582132.93761278,0.00467176859465177,0.996272481525799,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"g__Afipia-Bradyrhizobium",7708.84948703823,1731807.0511696,0.00445133277511022,0.996448362032655,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"g__Agrobacterium-Rhizobium",-180.467695990537,182.736113987146,-0.987586372791269,0.323355262880815,-2.02492236281189,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"g__Akkermansia",-10.6586411619347,27.3275141601023,-0.390033323173469,0.696511906088649,-0.652196181453011,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"a",NA
"g__Aquabacterium",-2378.18891679102,554151.733453671,-0.00429158436800206,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"g__Aquabacterium-Chlorochromatium",-1236.10049393228,288028.939416728,-0.00429158436799941,0.996575821602307,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Proteobacteria",0.15,0.85,"c",NA
"g__Arcobacter",5370.36056007779,1149534.79634313,0.00467176859470617,0.996272481525756,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Proteobacteria",0.15,1.15,"c",NA
"g__Atopobium",179.816693473794,189.48431092227,0.948979324982521,0.342631127511299,3.33987465068984,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
"g__Bacteroides",-12.1803617224981,26.0402556307484,-0.467751234673575,0.639962497399739,-1.55535279265411,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"b",NA
"g__Barnesiella",-769.3033916744,179258.596757506,-0.00429158436800151,0.996575821602305,-Inf,NA,NA,"T6820",FALSE,"Lean",1,"Not Proteobacteria",0.1,0.9,"c",NA
"g__Bifidobacterium",4800.61007174829,1027578.7369191,0.00467176859472738,0.996272481525739,Inf,NA,NA,"T6820",FALSE,"Obese",1,"Not Proteobacteria",0.1,1.1,"c",NA
